"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"80,761",+26,"3,136",+17,"60,113","17,512","4,794",56.1
Italy,"9,172",,463,,724,"7,985",733,151.7
Iran,"8,042",+881,291,+54,"2,731","5,020",,95.7
S. Korea,"7,513",+35,54,+1,247,"7,212",54,146.5
Spain,"1,646",+415,35,+5,32,"1,579",11,35.2
France,"1,412",,30,,12,"1,370",66,21.6
Germany,"1,307",+83,2,,18,"1,287",9,15.6
USA,729,+25,27,+1,15,687,8,2.2
Diamond Princess,696,,7,,245,444,32,
Japan,543,+13,10,+1,102,431,31,4.3
Switzerland,497,+123,3,+1,3,491,,57.4
Netherlands,382,+61,4,,,378,1,22.3
Sweden,325,+65,,,1,324,,32.2
UK,321,,6,+1,18,297,,4.7
Belgium,267,+28,,,1,266,2,23.0
Norway,252,+25,,,1,251,,46.5
Singapore,166,+6,,,93,73,10,28.4
Austria,157,+26,,,2,155,1,17.4
Denmark,156,+66,,,1,155,,26.9
Malaysia,129,+12,,,24,105,2,4.0
Hong Kong,116,,3,,59,54,6,15.5
Bahrain,110,+1,,,22,88,,64.6
Australia,103,+10,3,,22,78,1,4.0
Greece,89,+5,,,,89,1,8.5
Canada,77,,1,,8,68,1,2.0
UAE,74,+15,,,12,62,2,7.5
Iraq,71,,7,,15,49,,1.8
Iceland,69,+4,,,1,68,,
Kuwait,69,+4,,,1,68,3,16.2
Egypt,59,,1,,1,57,,0.6
Israel,58,+8,,,4,54,1,6.7
India,56,+9,,,4,52,,
Thailand,53,+3,1,,33,19,1,0.8
San Marino,51,,2,,,49,5,
Taiwan,47,+2,1,,17,29,,2.0
Lebanon,41,,1,+1,1,39,3,6.0
Czechia,41,+3,,,,41,,3.8
Portugal,41,+2,,,,41,1,4.0
Finland,40,+7,,,1,39,,7.2
Philippines,33,+9,1,,2,30,1,0.3
Vietnam,31,,,,16,15,,0.3
Slovenia,31,+6,,,,31,,14.9
Brazil,30,+5,,,,30,1,0.1
Indonesia,27,+8,,,2,25,,0.1
Palestine,26,+1,,,,26,,5.1
Romania,25,+8,,,5,20,,1.3
Ireland,24,,,,,24,,4.9
Algeria,20,,,,,20,,0.5
Russia,20,,,,3,17,,0.1
Saudi Arabia,20,,,,1,19,,0.6
Poland,20,+3,,,,20,2,0.5
Oman,18,,,,9,9,,3.5
Pakistan,18,+2,,,2,16,,0.1
Qatar,18,,,,,18,,6.2
Argentina,17,,1,,,16,,0.4
Ecuador,15,,,,,15,1,0.9
Georgia,15,,,,,15,1,3.8
Croatia,13,,,,,13,,3.2
Estonia,13,+3,,,,13,,9.8
Chile,13,,,,,13,,0.7
Hungary,12,+3,,,,12,,1.2
Azerbaijan,11,+2,,,,11,,1.1
Peru,11,+2,,,,11,,0.3
Macao,10,,,,10,0,,
Albania,10,+4,,,,10,,3.5
Belarus,9,+3,,,3,6,,1.0
Costa Rica,9,,,,,9,1,1.8
Latvia,8,+2,,,1,7,,4.2
North Macedonia,7,+2,,,,7,,3.4
Mexico,7,,,,4,3,1,0.1
Slovakia,7,,,,,7,,1.3
South Africa,7,,,,,7,,0.1
Brunei,6,+5,,,,6,,
Maldives,6,,,,,6,,
Dominican Republic,5,,,,,5,,0.5
Luxembourg,5,,,,,5,,
New Zealand,5,,,,,5,,1.0
Tunisia,5,,,,,5,,0.4
Bosnia and Herzegovina,5,,,,,5,,1.5
French Guiana,5,,,,,5,,
Afghanistan,4,,,,,4,,0.1
Senegal,4,,,,1,3,,0.2
Bulgaria,4,,,,,4,,0.6
Malta,4,,,,,4,,
Serbia,4,+2,,,,4,,0.5
Morocco,3,+1,1,+1,,2,1,0.1
Bangladesh,3,,,,,3,,
Colombia,3,,,,,3,,0.1
Cambodia,2,,,,1,1,,0.1
Nigeria,2,,,,,2,,
Burkina Faso,2,+1,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
Cyprus,2,,,,,2,,1.7
Faeroe Islands,2,,,,,2,,
Martinique,2,,,,,2,,
Saint Martin,2,,,,,2,,
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,0.3
Jordan,1,,,,,1,,0.1
Lithuania,1,,,,,1,,0.4
Monaco,1,,,,,1,,
Nepal,1,,,,1,0,,
Sri Lanka,1,,,,1,0,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
Channel Islands,1,,,,,1,,
Gibraltar,1,,,,1,0,,
Vatican City,1,,,,,1,,
Liechtenstein,1,,,,,1,,
Moldova,1,,,,,1,,0.2
Mongolia,1,+1,,,,1,,0.3
Panama,1,+1,,,,1,,0.2
Paraguay,1,,,,,1,,0.1
St. Barth,1,,,,,1,,
Togo,1,,,,,1,,0.1
Total:,"116,399","2,037","4,091",83,"64,647","47,661","5,788",14.9
